Position,Frame
(0.0000000 0.0000000 0.0000000),123
(0.0000000 0.0000000 0.0000000),124
(0.0000000 0.0000000 0.0000000),125
(0.0000000 0.0000000 0.0000000),126
(0.0000000 0.0000000 0.0000000),127
(0.0000000 0.0000000 0.0000000),128
(0.0000000 0.0000000 0.0000000),129
(0.0000000 0.0000000 0.0000000),130
(0.0000000 0.0000000 0.0000000),131
(0.0000000 0.0000000 0.0000000),132
(0.0000000 0.0000000 0.0000000),133
(0.0000000 0.0000000 0.0000000),134
(0.0000000 0.0000000 0.0000000),135
(0.0000000 0.0000000 0.0000000),136
(0.0000000 0.0000000 0.0000000),137
(0.0000000 0.0000000 0.0000000),138
(0.0000000 0.0000000 0.0000000),139
(0.0000000 0.0000000 0.0000000),140
(0.0000000 0.0000000 0.0000000),141
(0.0000000 0.0000000 0.0000000),142
(0.0000000 0.0000000 0.0000000),143
(0.0000000 0.0000000 0.0000000),144
(0.0000000 0.0000000 0.0000000),145
(0.0000000 0.0000000 0.0000000),146
(0.0000000 0.0000000 0.0000000),147
(0.0000000 0.0000000 0.0000000),148
(0.0000000 0.0000000 0.0000000),149
(0.0000000 0.0000000 0.0000000),150
(0.0000000 0.0000000 0.0000000),151
(0.0000000 0.0000000 0.0000000),152
(0.0000000 0.0000000 0.0000000),153
(0.0000000 0.0000000 0.0000000),154
(0.0000000 0.0000000 0.0000000),155
(0.0000000 0.0000000 0.0000000),156
(0.0000000 0.0000000 0.0000000),157
(0.0000000 0.0000000 0.0000000),158
(0.0000000 0.0000000 0.0000000),159
(0.0000000 0.0000000 0.0000000),160
(0.0000000 0.0000000 0.0000000),161
(0.0000000 0.0000000 0.0000000),162
(0.0000000 0.0000000 0.0000000),163
(0.0000000 0.0000000 0.0000000),164
(0.0000000 0.0000000 0.0000000),165
(0.0000000 0.0000000 0.0000000),166
(0.0000000 0.0000000 0.0000000),167
(0.0000000 0.0000000 0.0000000),168
(0.0000000 0.0000000 0.0000000),169
(0.0000000 0.0000000 0.0000000),170
(0.0000000 0.0000000 0.0000000),171
(0.0000000 0.0000000 0.0000000),172
(0.0000000 0.0000000 0.0000000),173
(0.0000000 0.0000000 0.0000000),174
(0.0000000 0.0000000 0.0000000),175
(0.0000000 0.0000000 0.0000000),176
(0.0000000 0.0000000 0.0000000),177
(0.0000000 0.0000000 0.0000000),178
(0.0000000 0.0000000 0.0000000),179
(0.0000000 0.0000000 0.0000000),180
(0.0000000 0.0000000 0.0000000),181
(0.0000000 0.0000000 0.0000000),182
(0.0000000 0.0000000 0.0000000),183
(0.0000000 0.0000000 0.0000000),184
(0.0000000 0.0000000 0.0000000),185
(0.0000000 0.0000000 0.0000000),186
(0.0000000 0.0000000 0.0000000),187
(0.0000000 0.0000000 0.0000000),188
(0.0000000 0.0000000 0.0000000),189
(0.0000000 0.0000000 0.0000000),190
(0.0000000 0.0000000 0.0000000),191
(0.0000000 0.0000000 0.0000000),192
(0.0000000 0.0000000 0.0000000),193
(0.0000000 0.0000000 0.0000000),194
(0.0000000 0.0000000 0.0000000),195
(0.0000000 0.0000000 0.0000000),196
(0.0000000 0.0000000 0.0000000),197
(0.0000000 0.0000000 0.0000000),198
(0.0000000 0.0000000 0.0000000),199
(0.0000000 0.0000000 0.0000000),200
(0.0000000 0.0000000 0.0000000),201
(0.0000000 0.0000000 0.0000000),202
(0.0000000 0.0000000 0.0000000),203
(0.0000000 0.0000000 0.0000000),204
(0.0000000 0.0000000 0.0000000),205
(0.0000000 0.0000000 0.0000000),206
(0.0000000 0.0000000 0.0000000),207
(0.0000000 0.0000000 0.0000000),208
(0.0000000 0.0000000 0.0000000),209
(0.0000000 0.0000000 0.0000000),210
(0.0000000 0.0000000 0.0000000),211
(0.0000000 0.0000000 0.0000000),212
(0.0000000 0.0000000 0.0000000),213
(0.0000000 0.0000000 0.0000000),214
(0.0000000 0.0000000 0.0000000),215
(0.0000000 0.0000000 0.0000000),216
(0.0000000 0.0000000 0.0000000),217
(0.0000000 0.0000000 0.0000000),218
(0.0000000 0.0000000 0.0000000),219
(0.0000000 0.0000000 0.0000000),220
(0.0000000 0.0000000 0.0000000),221
(0.0000000 0.0000000 0.0000000),222
(0.0000000 0.0000000 0.0000000),223
(0.0000000 0.0000000 0.0000000),224
(0.0000000 0.0000000 0.0000000),225
(0.0000000 0.0000000 0.0000000),226
(0.0000000 0.0000000 0.0000000),227
(0.0000000 0.0000000 0.0000000),228
(0.0000000 0.0000000 0.0000000),229
(0.0000000 0.0000000 0.0000000),230
(0.0000000 0.0000000 0.0000000),231
(0.0000000 0.0000000 0.0000000),232
(0.0000000 0.0000000 0.0000000),233
(0.0000000 0.0000000 0.0000000),234
(0.0000000 0.0000000 0.0000000),235
(0.0000000 0.0000000 0.0000000),236
(0.0000000 0.0000000 0.0000000),237
(0.0000000 0.0000000 0.0000000),238
(0.0000000 0.0000000 0.0000000),239
(0.0000000 0.0000000 0.0000000),240
(0.0000000 0.0000000 0.0000000),241
(0.0000000 0.0000000 0.0000000),242
(0.0000000 0.0000000 0.0000000),243
(0.0000000 0.0000000 0.0000000),244
(0.0000000 0.0000000 0.0000000),245
(0.0000000 0.0000000 0.0000000),246
(0.0000000 0.0000000 0.0000000),247
(0.0000000 0.0000000 0.0000000),248
(0.0000000 0.0000000 0.0000000),249
(0.0000000 0.0000000 0.0000000),250
(0.0000000 0.0000000 0.0000000),251
(0.0000000 0.0000000 0.0000000),252
(0.0000000 0.0000000 0.0000000),253
(0.0000000 0.0000000 0.0000000),254
(0.0000000 0.0000000 0.0000000),255
(0.0000000 0.0000000 0.0000000),256
(0.0000000 0.0000000 0.0000000),257
(0.0000000 0.0000000 0.0000000),258
(0.0000000 0.0000000 0.0000000),259
(0.0000000 0.0000000 0.0000000),260
(0.0000000 0.0000000 0.0000000),261
(0.0000000 0.0000000 0.0000000),262
(0.0000000 0.0000000 0.0000000),263
(0.0000000 0.0000000 0.0000000),264
(0.0000000 0.0000000 0.0000000),265
(0.0000000 0.0000000 0.0000000),266
(0.0000000 0.0000000 0.0000000),267
(0.0000000 0.0000000 0.0000000),268
(0.0000000 0.0000000 0.0000000),269
(0.0000000 0.0000000 0.0000000),270
(0.0000000 0.0000000 0.0000000),271
(0.0000000 0.0000000 0.0000000),272
(0.0000000 0.0000000 0.0000000),273
(0.0000000 0.0000000 0.0000000),274
(0.0000000 0.0000000 0.0000000),275
(0.0000000 0.0000000 0.0000000),276
(0.0000000 0.0000000 0.0000000),277
(0.0000000 0.0000000 0.0000000),278
(0.0000000 0.0000000 0.0000000),279
(0.0000000 0.0000000 0.0000000),280
(0.0000000 0.0000000 0.0000000),281
(0.0000000 0.0000000 0.0000000),282
(0.0000000 0.0000000 0.0000000),283
(0.0000000 0.0000000 0.0000000),284
(0.0000000 0.0000000 0.0000000),285
(0.0000000 0.0000000 0.0000000),286
(0.0000000 0.0000000 0.0000000),287
(0.0000000 0.0000000 0.0000000),288
(0.0000000 0.0000000 0.0000000),289
(0.0000000 0.0000000 0.0000000),290
(0.0000000 0.0000000 0.0000000),291
(0.0000000 0.0000000 0.0000000),292
(0.0000000 0.0000000 0.0000000),293
(0.0000000 0.0000000 0.0000000),294
(0.0000000 0.0000000 0.0000000),295
(0.0000000 0.0000000 0.0000000),296
(0.0000000 0.0000000 0.0000000),297
(0.0000000 0.0000000 0.0000000),298
(0.0000000 0.0000000 0.0000000),299
(0.0000000 0.0000000 0.0000000),300
(0.0000000 0.0000000 0.0000000),301
(0.0000000 0.0000000 0.0000000),302
(0.0000000 0.0000000 0.0000000),303
(0.0000000 0.0000000 0.0000000),304
(0.0000000 0.0000000 0.0000000),305
(0.0000000 0.0000000 0.0000000),306
(0.0000000 0.0000000 0.0000000),307
(0.0000000 0.0000000 0.0000000),308
(0.0000000 0.0000000 0.0000000),309
(0.0000000 0.0000000 0.0000000),310
(0.0000000 0.0000000 0.0000000),311
(0.0000000 0.0000000 0.0000000),312
(0.0000000 0.0000000 0.0000000),313
(0.0000000 0.0000000 0.0000000),314
(0.0000000 0.0000000 0.0000000),315
(0.0000000 0.0000000 0.0000000),316
(0.0000000 0.0000000 0.0000000),317
(0.0000000 0.0000000 0.0000000),318
(0.0000000 0.0000000 0.0000000),319
(0.0000000 0.0000000 0.0000000),320
(0.0000000 0.0000000 0.0000000),321
(0.0000000 0.0000000 0.0000000),322
(0.0000000 0.0000000 0.0000000),323
(0.0000000 0.0000000 0.0000000),324
(0.0000000 0.0000000 0.0000000),325
(0.0000000 0.0000000 0.0000000),326
(0.0000000 0.0000000 0.0000000),327
(0.0000000 0.0000000 0.0000000),328
(0.0000000 0.0000000 0.0000000),329
(0.0000000 0.0000000 0.0000000),330
(0.0000000 0.0000000 0.0000000),331
(0.0000000 0.0000000 0.0000000),332
(0.0000000 0.0000000 0.0000000),333
(0.0000000 0.0000000 0.0000000),334
(0.0000000 0.0000000 0.0000000),335
(0.0000000 0.0000000 0.0000000),336
(0.0000000 0.0000000 0.0000000),337
(0.0000000 0.0000000 0.0000000),338
(0.0000000 0.0000000 0.0000000),339
(0.0000000 0.0000000 0.0000000),340
(0.0000000 0.0000000 0.0000000),341
(0.0000000 0.0000000 0.0000000),342
(0.0000000 0.0000000 0.0000000),343
(0.0000000 0.0000000 0.0000000),344
(0.0000000 0.0000000 0.0000000),345
(0.0000000 0.0000000 0.0000000),346
(0.0000000 0.0000000 0.0000000),347
(0.0000000 0.0000000 0.0000000),348
(0.0000000 0.0000000 0.0000000),349
(0.0000000 0.0000000 0.0000000),350
(0.0000000 0.0000000 0.0000000),351
(0.0000000 0.0000000 0.0000000),352
(0.0000000 0.0000000 0.0000000),353
(0.0000000 0.0000000 0.0000000),354
(0.0000000 0.0000000 0.0000000),355
(0.0000000 0.0000000 0.0000000),356
(0.0000000 0.0000000 0.0000000),357
(0.0000000 0.0000000 0.0000000),358
(0.0000000 0.0000000 0.0000000),359
(0.0000000 0.0000000 0.0000000),360
(0.0000000 0.0000000 0.0000000),361
(0.0000000 0.0000000 0.0000000),362
(0.0000000 0.0000000 0.0000000),363
(0.0000000 0.0000000 0.0000000),364
(0.0000000 0.0000000 0.0000000),365
(0.0000000 0.0000000 0.0000000),366
(0.0000000 0.0000000 0.0000000),367
(0.0000000 0.0000000 0.0000000),368
(0.0000000 0.0000000 0.0000000),369
(0.0000000 0.0000000 0.0000000),370
(0.0000000 0.0000000 0.0000000),371
(0.0000000 0.0000000 0.0000000),372
(0.0000000 0.0000000 0.0000000),373
(0.0000000 0.0000000 0.0000000),374
(0.0000000 0.0000000 0.0000000),375
(0.0000000 0.0000000 0.0000000),376
(0.0000000 0.0000000 0.0000000),377
(0.0000000 0.0000000 0.0000000),378
(0.0000000 0.0000000 0.0000000),379
(0.0000000 0.0000000 0.0000000),380
(0.0000000 0.0000000 0.0000000),381
(0.0000000 0.0000000 0.0000000),382
(0.0000000 0.0000000 0.0000000),383
(0.0000000 0.0000000 0.0000000),384
(0.0000000 0.0000000 0.0000000),385
(0.0000000 0.0000000 0.0000000),386
(0.0000000 0.0000000 0.0000000),387
(0.0000000 0.0000000 0.0000000),388
(0.0000000 0.0000000 0.0000000),389
(0.0000000 0.0000000 0.0000000),390
(0.0000000 0.0000000 0.0000000),391
(0.0000000 0.0000000 0.0000000),392
(0.0000000 0.0000000 0.0000000),393
(0.0000000 0.0000000 0.0000000),394
(0.0000000 0.0000000 0.0000000),395
(0.0000000 0.0000000 0.0000000),396
(0.0000000 0.0000000 0.0000000),397
(0.0000000 0.0000000 0.0000000),398
(0.0000000 0.0000000 0.0000000),399
(0.0000000 0.0000000 0.0000000),400
(0.0000000 0.0000000 0.0000000),401
(0.0000000 0.0000000 0.0000000),402
(0.0000000 0.0000000 0.0000000),403
(0.0000000 0.0000000 0.0000000),404
(0.0000000 0.0000000 0.0000000),405
(0.0000000 0.0000000 0.0000000),406
(0.0000000 0.0000000 0.0000000),407
(0.0000000 0.0000000 0.0000000),408
(0.0000000 0.0000000 0.0000000),409
(0.0000000 0.0000000 0.0000000),410
(0.0000000 0.0000000 0.0000000),411
(0.0000000 0.0000000 0.0000000),412
(0.0000000 0.0000000 0.0000000),413
(0.0000000 0.0000000 0.0000000),414
(0.0000000 0.0000000 0.0000000),415
(0.0000000 0.0000000 0.0000000),416
(0.0000000 0.0000000 0.0000000),417
(0.0000000 0.0000000 0.0000000),418
(0.0000000 0.0000000 0.0000000),419
(0.0000000 0.0000000 0.0000000),420
(0.0000000 0.0000000 0.0000000),421
(0.0000000 0.0000000 0.0000000),422
(0.0000000 0.0000000 0.0000000),423
(0.0000000 0.0000000 0.0000000),424
(0.0000000 0.0000000 0.0000000),425
(0.0000000 0.0000000 0.0000000),426
(0.0000000 0.0000000 0.0000000),427
(0.0000000 0.0000000 0.0000000),428
(0.0000000 0.0000000 0.0000000),429
(0.0000000 0.0000000 0.0000000),430
(0.0000000 0.0000000 0.0000000),431
(0.0000000 0.0000000 0.0000000),432
(0.0000000 0.0000000 0.0000000),433
(0.0000000 0.0000000 0.0000000),434
(0.0000000 0.0000000 0.0000000),435
(0.0000000 0.0000000 0.0000000),436
(0.0000000 0.0000000 0.0000000),437
(0.0000000 0.0000000 0.0000000),438
(0.0000000 0.0000000 0.0000000),439
(0.0000000 0.0000000 0.0000000),440
(0.0000000 0.0000000 0.0000000),441
(0.0000000 0.0000000 0.0000000),442
(0.0000000 0.0000000 0.0000000),443
(0.0000000 0.0000000 0.0000000),444
(0.0000000 0.0000000 0.0000000),445
(0.0000000 0.0000000 0.0000000),446
(0.0000000 0.0000000 0.0000000),447
(0.0000000 0.0000000 0.0000000),448
(0.0000000 0.0000000 0.0000000),449
(0.0000000 0.0000000 0.0000000),450
(0.0000000 0.0000000 0.0000000),451
(0.0000000 0.0000000 0.0000000),452
(0.0000000 0.0000000 0.0000000),453
(0.0000000 0.0000000 0.0000000),454
(0.0000000 0.0000000 0.0000000),455
(0.0000000 0.0000000 0.0000000),456
(0.0000000 0.0000000 0.0000000),457
(0.0000000 0.0000000 0.0000000),458
(0.0000000 0.0000000 0.0000000),459
(0.0000000 0.0000000 0.0000000),460
(0.0000000 0.0000000 0.0000000),461
(0.0000000 0.0000000 0.0000000),462
(0.0000000 0.0000000 0.0000000),463
(0.0000000 0.0000000 0.0000000),464
(0.0000000 0.0000000 0.0000000),465
(0.0000000 0.0000000 0.0000000),466
(0.0000000 0.0000000 0.0000000),467
(0.0000000 0.0000000 0.0000000),468
(0.0000000 0.0000000 0.0000000),469
(0.0000000 0.0000000 0.0000000),470
(0.0000000 0.0000000 0.0000000),471
(0.0000000 0.0000000 0.0000000),472
(0.0000000 0.0000000 0.0000000),473
(0.0000000 0.0000000 0.0000000),474
(0.0000000 0.0000000 0.0000000),475
(0.0000000 0.0000000 0.0000000),476
(0.0000000 0.0000000 0.0000000),477
(0.0000000 0.0000000 0.0000000),478
(0.0000000 0.0000000 0.0000000),479
(0.0000000 0.0000000 0.0000000),480
(0.0000000 0.0000000 0.0000000),481
(0.0000000 0.0000000 0.0000000),482
(0.0000000 0.0000000 0.0000000),483
(0.0000000 0.0000000 0.0000000),484
(0.0000000 0.0000000 0.0000000),485
(0.0000000 0.0000000 0.0000000),486
(0.0000000 0.0000000 0.0000000),487
(0.0000000 0.0000000 0.0000000),488
(0.0000000 0.0000000 0.0000000),489
(0.0000000 0.0000000 0.0000000),490
(0.0000000 0.0000000 0.0000000),491
(0.0000000 0.0000000 0.0000000),492
(0.0000000 0.0000000 0.0000000),493
(0.0000000 0.0000000 0.0000000),494
(0.0000000 0.0000000 0.0000000),495
(0.0000000 0.0000000 0.0000000),496
(0.0000000 0.0000000 0.0000000),497
(0.0000000 0.0000000 0.0000000),498
(0.0000000 0.0000000 0.0000000),499
(0.0000000 0.0000000 0.0000000),500
(0.0000000 0.0000000 0.0000000),501
(0.0000000 0.0000000 0.0000000),502
(0.0000000 0.0000000 0.0000000),503
(0.0000000 0.0000000 0.0000000),504
(0.0000000 0.0000000 0.0000000),505
(0.0000000 0.0000000 0.0000000),506
(0.0000000 0.0000000 0.0000000),507
(0.0000000 0.0000000 0.0000000),508
(0.0000000 0.0000000 0.0000000),509
(0.0000000 0.0000000 0.0000000),510
(0.0000000 0.0000000 0.0000000),511
(0.0000000 0.0000000 0.0000000),512
(0.0000000 0.0000000 0.0000000),513
(0.0000000 0.0000000 0.0000000),514
(0.0000000 0.0000000 0.0000000),515
(0.0000000 0.0000000 0.0000000),516
(0.0000000 0.0000000 0.0000000),517
(0.0000000 0.0000000 0.0000000),518
(0.0000000 0.0000000 0.0000000),519
(0.0000000 0.0000000 0.0000000),520
(0.0000000 0.0000000 0.0000000),521
(0.0000000 0.0000000 0.0000000),522
(0.0000000 0.0000000 0.0000000),523
(0.0000000 0.0000000 0.0000000),524
(0.0000000 0.0000000 0.0000000),525
(0.0000000 0.0000000 0.0000000),526
(0.0000000 0.0000000 0.0000000),527
(0.0000000 0.0000000 0.0000000),528
(0.0000000 0.0000000 0.0000000),529
(0.0000000 0.0000000 0.0000000),530
(0.0000000 0.0000000 0.0000000),531
(0.0000000 0.0000000 0.0000000),532
(0.0000000 0.0000000 0.0000000),533
(0.0000000 0.0000000 0.0000000),534
(0.0000000 0.0000000 0.0000000),535
(0.0000000 0.0000000 0.0000000),536
(0.0000000 0.0000000 0.0000000),537
(0.0000000 0.0000000 0.0000000),538
(0.0000000 0.0000000 0.0000000),539
(0.0000000 0.0000000 0.0000000),540
(0.0000000 0.0000000 0.0000000),541
(0.0000000 0.0000000 0.0000000),542
(0.0000000 0.0000000 0.0000000),543
(0.0000000 0.0000000 0.0000000),544
(0.0000000 0.0000000 0.0000000),545
(0.0000000 0.0000000 0.0000000),546
(0.0000000 0.0000000 0.0000000),547
(0.0000000 0.0000000 0.0000000),548
(0.0000000 0.0000000 0.0000000),549
(0.0000000 0.0000000 0.0000000),550
(0.0000000 0.0000000 0.0000000),551
(0.0000000 0.0000000 0.0000000),552
(0.0000000 0.0000000 0.0000000),553
(0.0000000 0.0000000 0.0000000),554
(0.0000000 0.0000000 0.0000000),555
(0.0000000 0.0000000 0.0000000),556
(0.0000000 0.0000000 0.0000000),557
(0.0000000 0.0000000 0.0000000),558
(0.0000000 0.0000000 0.0000000),559
(0.0000000 0.0000000 0.0000000),560
(0.0000000 0.0000000 0.0000000),561
(0.0000000 0.0000000 0.0000000),562
(0.0000000 0.0000000 0.0000000),563
(0.0000000 0.0000000 0.0000000),564
(0.0000000 0.0000000 0.0000000),565
(0.0000000 0.0000000 0.0000000),566
(0.0000000 0.0000000 0.0000000),567
(0.0000000 0.0000000 0.0000000),568
(0.0000000 0.0000000 0.0000000),569
(0.0000000 0.0000000 0.0000000),570
(0.0000000 0.0000000 0.0000000),571
(0.0000000 0.0000000 0.0000000),572
(0.0000000 0.0000000 0.0000000),573
(0.0000000 0.0000000 0.0000000),574
(0.0000000 0.0000000 0.0000000),575
(0.0000000 0.0000000 0.0000000),576
(0.0000000 0.0000000 0.0000000),577
(0.0000000 0.0000000 0.0000000),578
(0.0000000 0.0000000 0.0000000),579
(0.0000000 0.0000000 0.0000000),580
(0.0000000 0.0000000 0.0000000),581
(0.0000000 0.0000000 0.0000000),582
(0.0000000 0.0000000 0.0000000),583
(0.0000000 0.0000000 0.0000000),584
(0.0000000 0.0000000 0.0000000),585
(0.0000000 0.0000000 0.0000000),586
(0.0000000 0.0000000 0.0000000),587
(0.0000000 0.0000000 0.0000000),588
(0.0000000 0.0000000 0.0000000),589
(0.0000000 0.0000000 0.0000000),590
(0.0000000 0.0000000 0.0000000),591
(0.0000000 0.0000000 0.0000000),592
(0.0000000 0.0000000 0.0000000),593
(0.0000000 0.0000000 0.0000000),594
(0.0000000 0.0000000 0.0000000),595
(0.0000000 0.0000000 0.0000000),596
(0.0000000 0.0000000 0.0000000),597
(0.0000000 0.0000000 0.0000000),598
(0.0000000 0.0000000 0.0000000),599
(0.0000000 0.0000000 0.0000000),600
(0.0000000 0.0000000 0.0000000),601
(0.0000000 0.0000000 0.0000000),602
(0.0000000 0.0000000 0.0000000),603
(0.0000000 0.0000000 0.0000000),604
(0.0000000 0.0000000 0.0000000),605
(0.0000000 0.0000000 0.0000000),606
(0.0000000 0.0000000 0.0000000),607
(0.0000000 0.0000000 0.0000000),608
(0.0000000 0.0000000 0.0000000),609
(0.0000000 0.0000000 0.0000000),610
(0.0000000 0.0000000 0.0000000),611
(0.0000000 0.0000000 0.0000000),612
(0.0000000 0.0000000 0.0000000),613
(0.0000000 0.0000000 0.0000000),614
(0.0000000 0.0000000 0.0000000),615
(0.0000000 0.0000000 0.0000000),616
(0.0000000 0.0000000 0.0000000),617
(0.0000000 0.0000000 0.0000000),618
(0.0000000 0.0000000 0.0000000),619
(0.0000000 0.0000000 0.0000000),620
(0.0000000 0.0000000 0.0000000),621
(0.0000000 0.0000000 0.0000000),622
(0.0000000 0.0000000 0.0000000),623
(0.0000000 0.0000000 0.0000000),624
(0.0000000 0.0000000 0.0000000),625
(0.0000000 0.0000000 0.0000000),626
(0.0000000 0.0000000 0.0000000),627
(0.0000000 0.0000000 0.0000000),628
(0.0000000 0.0000000 0.0000000),629
(0.0000000 0.0000000 0.0000000),630
(0.0000000 0.0000000 0.0000000),631
(0.0000000 0.0000000 0.0000000),632
(0.0000000 0.0000000 0.0000000),633
(0.0000000 0.0000000 0.0000000),634
(0.0000000 0.0000000 0.0000000),635
(0.0000000 0.0000000 0.0000000),636
(0.0000000 0.0000000 0.0000000),637
(0.0000000 0.0000000 0.0000000),638
(0.0000000 0.0000000 0.0000000),639
(0.0000000 0.0000000 0.0000000),640
(0.0000000 0.0000000 0.0000000),641
(0.0000000 0.0000000 0.0000000),642
(0.0000000 0.0000000 0.0000000),643
(0.0000000 0.0000000 0.0000000),644
(0.0000000 0.0000000 0.0000000),645
(0.0000000 0.0000000 0.0000000),646
(0.0000000 0.0000000 0.0000000),647
(0.0000000 0.0000000 0.0000000),648
(0.0000000 0.0000000 0.0000000),649
(0.0000000 0.0000000 0.0000000),650
(0.0000000 0.0000000 0.0000000),651
(0.0000000 0.0000000 0.0000000),652
(0.0000000 0.0000000 0.0000000),653
(0.0000000 0.0000000 0.0000000),654
(0.0000000 0.0000000 0.0000000),655
(0.0000000 0.0000000 0.0000000),656
(0.0000000 0.0000000 0.0000000),657
(0.0000000 0.0000000 0.0000000),658
(0.0000000 0.0000000 0.0000000),659
(0.0000000 0.0000000 0.0000000),660
(0.0000000 0.0000000 0.0000000),661
(0.0000000 0.0000000 0.0000000),662
(0.0000000 0.0000000 0.0000000),663
(0.0000000 0.0000000 0.0000000),664
(0.0000000 0.0000000 0.0000000),665
(0.0000000 0.0000000 0.0000000),666
